scope,chromosome,bin_idx,start_bp,end_bp,start_mb,end_mb,region,bin_width_bp,bin_mid_bp,chrom_length_bp,chrom_offset_bp,chrom_center_mb,label,genome_mid_bp,mean_n_variants,sem_n_variants,mean_variants_per_100mb,sem_variants_per_100mb,n_unique_donor_variants,n_stage_timing_donors,bin_size_bp,species,dataset,plot_label,scope_color
Adult-specific,chr1,10,100000001,110000000,100.000001,110.0,chr1:100.0-110.0 Mb,10000000,105000000.5,195471971,0,97.7359855,1,105000000.5,0.6666666666666666,0.23570226039551587,6.666666666666667,2.3570226039551585,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,11,110000001,120000000,110.000001,120.0,chr1:110.0-120.0 Mb,10000000,115000000.5,195471971,0,97.7359855,1,115000000.5,0.5555555555555556,0.17568209223157663,5.555555555555555,1.7568209223157663,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,12,120000001,130000000,120.000001,130.0,chr1:120.0-130.0 Mb,10000000,125000000.5,195471971,0,97.7359855,1,125000000.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,13,130000001,140000000,130.000001,140.0,chr1:130.0-140.0 Mb,10000000,135000000.5,195471971,0,97.7359855,1,135000000.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,14,140000001,150000000,140.000001,150.0,chr1:140.0-150.0 Mb,10000000,145000000.5,195471971,0,97.7359855,1,145000000.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,15,150000001,160000000,150.000001,160.0,chr1:150.0-160.0 Mb,10000000,155000000.5,195471971,0,97.7359855,1,155000000.5,2.6666666666666665,0.40824829046386296,26.666666666666668,4.08248290463863,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,16,160000001,170000000,160.000001,170.0,chr1:160.0-170.0 Mb,10000000,165000000.5,195471971,0,97.7359855,1,165000000.5,3.888888888888889,0.6758625033664689,38.888888888888886,6.758625033664688,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,17,170000001,180000000,170.000001,180.0,chr1:170.0-180.0 Mb,10000000,175000000.5,195471971,0,97.7359855,1,175000000.5,2.5555555555555554,0.4746668747398628,25.555555555555557,4.746668747398629,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,18,180000001,190000000,180.000001,190.0,chr1:180.0-190.0 Mb,10000000,185000000.5,195471971,0,97.7359855,1,185000000.5,3.2222222222222223,0.4339027597725919,32.22222222222222,4.339027597725919,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,19,190000001,195471971,190.000001,195.471971,chr1:190.0-195.5 Mb,5471971,192735986.0,195471971,0,97.7359855,1,192735986.0,0.1111111111111111,0.1111111111111111,2.0305500725627224,2.0305500725627224,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,0,1,10000000,1e-06,10.0,chr10:0.0-10.0 Mb,10000000,5000000.5,130694993,1395142003,1460.4894995,10,1400142003.5,1.6666666666666667,0.40824829046386296,16.666666666666668,4.0824829046386295,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,1,10000001,20000000,10.000001,20.0,chr10:10.0-20.0 Mb,10000000,15000000.5,130694993,1395142003,1460.4894995,10,1410142003.5,4.0,0.6454972243679028,40.0,6.454972243679028,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,2,20000001,30000000,20.000001,30.0,chr10:20.0-30.0 Mb,10000000,25000000.5,130694993,1395142003,1460.4894995,10,1420142003.5,3.0,0.47140452079103173,30.0,4.714045207910317,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,3,30000001,40000000,30.000001,40.0,chr10:30.0-40.0 Mb,10000000,35000000.5,130694993,1395142003,1460.4894995,10,1430142003.5,0.1111111111111111,0.1111111111111111,1.1111111111111112,1.1111111111111112,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,4,40000001,50000000,40.000001,50.0,chr10:40.0-50.0 Mb,10000000,45000000.5,130694993,1395142003,1460.4894995,10,1440142003.5,0.7777777777777778,0.2777777777777778,7.777777777777778,2.777777777777778,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,5,50000001,60000000,50.000001,60.0,chr10:50.0-60.0 Mb,10000000,55000000.5,130694993,1395142003,1460.4894995,10,1450142003.5,5.444444444444445,0.37679611017362596,54.44444444444444,3.76796110173626,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,6,60000001,70000000,60.000001,70.0,chr10:60.0-70.0 Mb,10000000,65000000.5,130694993,1395142003,1460.4894995,10,1460142003.5,5.0,1.1055415967851332,50.0,11.055415967851333,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,7,70000001,80000000,70.000001,80.0,chr10:70.0-80.0 Mb,10000000,75000000.5,130694993,1395142003,1460.4894995,10,1470142003.5,1.6666666666666667,0.3333333333333333,16.666666666666668,3.3333333333333335,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,8,80000001,90000000,80.000001,90.0,chr10:80.0-90.0 Mb,10000000,85000000.5,130694993,1395142003,1460.4894995,10,1480142003.5,4.0,0.44095855184409843,40.0,4.409585518440984,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,9,90000001,100000000,90.000001,100.0,chr10:90.0-100.0 Mb,10000000,95000000.5,130694993,1395142003,1460.4894995,10,1490142003.5,1.4444444444444444,0.4444444444444444,14.444444444444445,4.444444444444445,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,10,100000001,110000000,100.000001,110.0,chr10:100.0-110.0 Mb,10000000,105000000.5,130694993,1395142003,1460.4894995,10,1500142003.5,1.7777777777777777,0.43390275977259196,17.77777777777778,4.339027597725919,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,11,110000001,120000000,110.000001,120.0,chr10:110.0-120.0 Mb,10000000,115000000.5,130694993,1395142003,1460.4894995,10,1510142003.5,3.4444444444444446,0.5555555555555556,34.44444444444444,5.555555555555556,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,12,120000001,130000000,120.000001,130.0,chr10:120.0-130.0 Mb,10000000,125000000.5,130694993,1395142003,1460.4894995,10,1520142003.5,8.333333333333334,1.3540064007726602,83.33333333333333,13.5400640077266,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr10,13,130000001,130694993,130.000001,130.694993,chr10:130.0-130.7 Mb,694993,130347497.0,130694993,1395142003,1460.4894995,10,1525489500.0,0.1111111111111111,0.1111111111111111,15.987371255697699,15.987371255697697,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,0,1,10000000,1e-06,10.0,chr11:0.0-10.0 Mb,10000000,5000000.5,122082543,1525836996,1586.8782675,11,1530836996.5,4.555555555555555,0.8012336167697754,45.55555555555556,8.012336167697754,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,1,10000001,20000000,10.000001,20.0,chr11:10.0-20.0 Mb,10000000,15000000.5,122082543,1525836996,1586.8782675,11,1540836996.5,1.2222222222222223,0.36430214023900004,12.222222222222221,3.643021402390001,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,2,20000001,30000000,20.000001,30.0,chr11:20.0-30.0 Mb,10000000,25000000.5,122082543,1525836996,1586.8782675,11,1550836996.5,6.0,1.7320508075688774,60.0,17.320508075688775,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,3,30000001,40000000,30.000001,40.0,chr11:30.0-40.0 Mb,10000000,35000000.5,122082543,1525836996,1586.8782675,11,1560836996.5,3.3333333333333335,0.5527707983925666,33.333333333333336,5.527707983925667,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,4,40000001,50000000,40.000001,50.0,chr11:40.0-50.0 Mb,10000000,45000000.5,122082543,1525836996,1586.8782675,11,1570836996.5,1.6666666666666667,0.47140452079103173,16.666666666666668,4.714045207910317,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,5,50000001,60000000,50.000001,60.0,chr11:50.0-60.0 Mb,10000000,55000000.5,122082543,1525836996,1586.8782675,11,1580836996.5,3.888888888888889,0.7718024438583225,38.888888888888886,7.718024438583225,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,6,60000001,70000000,60.000001,70.0,chr11:60.0-70.0 Mb,10000000,65000000.5,122082543,1525836996,1586.8782675,11,1590836996.5,6.222222222222222,1.1027462911821782,62.22222222222222,11.02746291182178,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,7,70000001,80000000,70.000001,80.0,chr11:70.0-80.0 Mb,10000000,75000000.5,122082543,1525836996,1586.8782675,11,1600836996.5,12.666666666666666,2.0,126.66666666666667,20.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,8,80000001,90000000,80.000001,90.0,chr11:80.0-90.0 Mb,10000000,85000000.5,122082543,1525836996,1586.8782675,11,1610836996.5,13.777777777777779,1.7699480357859991,137.77777777777777,17.69948035785999,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,9,90000001,100000000,90.000001,100.0,chr11:90.0-100.0 Mb,10000000,95000000.5,122082543,1525836996,1586.8782675,11,1620836996.5,8.777777777777779,1.1992796191623836,87.77777777777777,11.992796191623833,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,10,100000001,110000000,100.000001,110.0,chr11:100.0-110.0 Mb,10000000,105000000.5,122082543,1525836996,1586.8782675,11,1630836996.5,13.555555555555555,2.550114981673,135.55555555555554,25.501149816730003,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,11,110000001,120000000,110.000001,120.0,chr11:110.0-120.0 Mb,10000000,115000000.5,122082543,1525836996,1586.8782675,11,1640836996.5,6.888888888888889,0.9345891022922624,68.88888888888889,9.345891022922624,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr11,12,120000001,122082543,120.000001,122.082543,chr11:120.0-122.1 Mb,2082543,121041272.0,122082543,1525836996,1586.8782675,11,1646878268.0,3.0,0.5270462766947299,144.0546485714821,25.307822056722475,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,0,1,10000000,1e-06,10.0,chr12:0.0-10.0 Mb,10000000,5000000.5,120129022,1647919539,1707.98405,12,1652919539.5,4.888888888888889,0.7535922203472519,48.888888888888886,7.53592220347252,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,1,10000001,20000000,10.000001,20.0,chr12:10.0-20.0 Mb,10000000,15000000.5,120129022,1647919539,1707.98405,12,1662919539.5,1.7777777777777777,0.3643021402390001,17.77777777777778,3.643021402390001,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,2,20000001,30000000,20.000001,30.0,chr12:20.0-30.0 Mb,10000000,25000000.5,120129022,1647919539,1707.98405,12,1672919539.5,0.4444444444444444,0.2421610524189263,4.444444444444445,2.4216105241892634,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,3,30000001,40000000,30.000001,40.0,chr12:30.0-40.0 Mb,10000000,35000000.5,120129022,1647919539,1707.98405,12,1682919539.5,0.6666666666666666,0.23570226039551587,6.666666666666667,2.3570226039551585,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,4,40000001,50000000,40.000001,50.0,chr12:40.0-50.0 Mb,10000000,45000000.5,120129022,1647919539,1707.98405,12,1692919539.5,0.2222222222222222,0.1469861839480328,2.2222222222222223,1.469861839480328,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,5,50000001,60000000,50.000001,60.0,chr12:50.0-60.0 Mb,10000000,55000000.5,120129022,1647919539,1707.98405,12,1702919539.5,5.222222222222222,1.010744744370014,52.22222222222222,10.10744744370014,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,6,60000001,70000000,60.000001,70.0,chr12:60.0-70.0 Mb,10000000,65000000.5,120129022,1647919539,1707.98405,12,1712919539.5,1.1111111111111112,0.35136418446315326,11.11111111111111,3.5136418446315325,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,7,70000001,80000000,70.000001,80.0,chr12:70.0-80.0 Mb,10000000,75000000.5,120129022,1647919539,1707.98405,12,1722919539.5,3.3333333333333335,0.5270462766947299,33.333333333333336,5.270462766947299,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,8,80000001,90000000,80.000001,90.0,chr12:80.0-90.0 Mb,10000000,85000000.5,120129022,1647919539,1707.98405,12,1732919539.5,8.0,1.2583057392117916,80.0,12.583057392117915,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,9,90000001,100000000,90.000001,100.0,chr12:90.0-100.0 Mb,10000000,95000000.5,120129022,1647919539,1707.98405,12,1742919539.5,1.1111111111111112,0.26057865332352387,11.11111111111111,2.605786533235239,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,10,100000001,110000000,100.000001,110.0,chr12:100.0-110.0 Mb,10000000,105000000.5,120129022,1647919539,1707.98405,12,1752919539.5,2.0,0.6009252125773316,20.0,6.009252125773315,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,11,110000001,120000000,110.000001,120.0,chr12:110.0-120.0 Mb,10000000,115000000.5,120129022,1647919539,1707.98405,12,1762919539.5,5.555555555555555,0.7092858519335392,55.55555555555556,7.092858519335391,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr12,12,120000001,120129022,120.000001,120.129022,chr12:120.0-120.1 Mb,129022,120064511.5,120129022,1647919539,1707.98405,12,1767984050.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,0,1,10000000,1e-06,10.0,chr13:0.0-10.0 Mb,10000000,5000000.5,120421639,1768048561,1828.2593805,13,1773048561.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,1,10000001,20000000,10.000001,20.0,chr13:10.0-20.0 Mb,10000000,15000000.5,120421639,1768048561,1828.2593805,13,1783048561.5,0.2222222222222222,0.1469861839480328,2.2222222222222223,1.469861839480328,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,2,20000001,30000000,20.000001,30.0,chr13:20.0-30.0 Mb,10000000,25000000.5,120421639,1768048561,1828.2593805,13,1793048561.5,1.5555555555555556,0.4444444444444445,15.555555555555555,4.444444444444445,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,3,30000001,40000000,30.000001,40.0,chr13:30.0-40.0 Mb,10000000,35000000.5,120421639,1768048561,1828.2593805,13,1803048561.5,2.6666666666666665,0.6009252125773316,26.666666666666668,6.009252125773315,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,4,40000001,50000000,40.000001,50.0,chr13:40.0-50.0 Mb,10000000,45000000.5,120421639,1768048561,1828.2593805,13,1813048561.5,2.888888888888889,0.8570693678078617,28.88888888888889,8.570693678078618,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,5,50000001,60000000,50.000001,60.0,chr13:50.0-60.0 Mb,10000000,55000000.5,120421639,1768048561,1828.2593805,13,1823048561.5,6.222222222222222,0.759710796176519,62.22222222222222,7.59710796176519,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,6,60000001,70000000,60.000001,70.0,chr13:60.0-70.0 Mb,10000000,65000000.5,120421639,1768048561,1828.2593805,13,1833048561.5,3.3333333333333335,0.5270462766947299,33.333333333333336,5.270462766947299,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,7,70000001,80000000,70.000001,80.0,chr13:70.0-80.0 Mb,10000000,75000000.5,120421639,1768048561,1828.2593805,13,1843048561.5,2.2222222222222223,0.46481112585226425,22.22222222222222,4.6481112585226425,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,8,80000001,90000000,80.000001,90.0,chr13:80.0-90.0 Mb,10000000,85000000.5,120421639,1768048561,1828.2593805,13,1853048561.5,0.5555555555555556,0.17568209223157663,5.555555555555555,1.7568209223157663,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,9,90000001,100000000,90.000001,100.0,chr13:90.0-100.0 Mb,10000000,95000000.5,120421639,1768048561,1828.2593805,13,1863048561.5,2.7777777777777777,0.5471587667664503,27.77777777777778,5.471587667664502,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,10,100000001,110000000,100.000001,110.0,chr13:100.0-110.0 Mb,10000000,105000000.5,120421639,1768048561,1828.2593805,13,1873048561.5,4.777777777777778,0.812707713240433,47.77777777777778,8.12707713240433,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,11,110000001,120000000,110.000001,120.0,chr13:110.0-120.0 Mb,10000000,115000000.5,120421639,1768048561,1828.2593805,13,1883048561.5,1.6666666666666667,0.2886751345948129,16.666666666666668,2.8867513459481287,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr13,12,120000001,120421639,120.000001,120.421639,chr13:120.0-120.4 Mb,421639,120210820.0,120421639,1768048561,1828.2593805,13,1888259381.0,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,0,1,10000000,1e-06,10.0,chr14:0.0-10.0 Mb,10000000,5000000.5,124902244,1888470200,1950.921322,14,1893470200.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,1,10000001,20000000,10.000001,20.0,chr14:10.0-20.0 Mb,10000000,15000000.5,124902244,1888470200,1950.921322,14,1903470200.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,2,20000001,30000000,20.000001,30.0,chr14:20.0-30.0 Mb,10000000,25000000.5,124902244,1888470200,1950.921322,14,1913470200.5,6.444444444444445,0.7657804862272345,64.44444444444444,7.657804862272346,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,3,30000001,40000000,30.000001,40.0,chr14:30.0-40.0 Mb,10000000,35000000.5,124902244,1888470200,1950.921322,14,1923470200.5,2.6666666666666665,0.5270462766947299,26.666666666666668,5.270462766947299,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,4,40000001,50000000,40.000001,50.0,chr14:40.0-50.0 Mb,10000000,45000000.5,124902244,1888470200,1950.921322,14,1933470200.5,3.111111111111111,0.6961091158967593,31.11111111111111,6.9610911589675935,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,5,50000001,60000000,50.000001,60.0,chr14:50.0-60.0 Mb,10000000,55000000.5,124902244,1888470200,1950.921322,14,1943470200.5,5.0,1.130388330520878,50.0,11.30388330520878,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,6,60000001,70000000,60.000001,70.0,chr14:60.0-70.0 Mb,10000000,65000000.5,124902244,1888470200,1950.921322,14,1953470200.5,1.8888888888888888,0.3888888888888889,18.88888888888889,3.888888888888889,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,7,70000001,80000000,70.000001,80.0,chr14:70.0-80.0 Mb,10000000,75000000.5,124902244,1888470200,1950.921322,14,1963470200.5,5.222222222222222,0.8784104611578831,52.22222222222222,8.784104611578831,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,8,80000001,90000000,80.000001,90.0,chr14:80.0-90.0 Mb,10000000,85000000.5,124902244,1888470200,1950.921322,14,1973470200.5,0.8888888888888888,0.30932024237944566,8.88888888888889,3.0932024237944566,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,9,90000001,100000000,90.000001,100.0,chr14:90.0-100.0 Mb,10000000,95000000.5,124902244,1888470200,1950.921322,14,1983470200.5,0.3333333333333333,0.3333333333333333,3.3333333333333335,3.3333333333333335,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,10,100000001,110000000,100.000001,110.0,chr14:100.0-110.0 Mb,10000000,105000000.5,124902244,1888470200,1950.921322,14,1993470200.5,1.0,0.23570226039551587,10.0,2.3570226039551585,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,11,110000001,120000000,110.000001,120.0,chr14:110.0-120.0 Mb,10000000,115000000.5,124902244,1888470200,1950.921322,14,2003470200.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr14,12,120000001,124902244,120.000001,124.902244,chr14:120.0-124.9 Mb,4902244,122451122.5,124902244,1888470200,1950.921322,14,2010921322.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr15,0,1,10000000,1e-06,10.0,chr15:0.0-10.0 Mb,10000000,5000000.5,104043685,2013372444,2065.3942865,15,2018372444.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr15,1,10000001,20000000,10.000001,20.0,chr15:10.0-20.0 Mb,10000000,15000000.5,104043685,2013372444,2065.3942865,15,2028372444.5,0.0,0.0,0.0,0.0,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr15,2,20000001,30000000,20.000001,30.0,chr15:20.0-30.0 Mb,10000000,25000000.5,104043685,2013372444,2065.3942865,15,2038372444.5,1.0,0.3333333333333333,10.0,3.3333333333333335,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr15,3,30000001,40000000,30.000001,40.0,chr15:30.0-40.0 Mb,10000000,35000000.5,104043685,2013372444,2065.3942865,15,2048372444.5,3.6666666666666665,0.7071067811865475,36.666666666666664,7.0710678118654755,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr15,4,40000001,50000000,40.000001,50.0,chr15:40.0-50.0 Mb,10000000,45000000.5,104043685,2013372444,2065.3942865,15,2058372444.5,0.6666666666666666,0.37267799624996495,6.666666666666667,3.726779962499649,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr15,5,50000001,60000000,50.000001,60.0,chr15:50.0-60.0 Mb,10000000,55000000.5,104043685,2013372444,2065.3942865,15,2068372444.5,3.111111111111111,0.7157832625958402,31.11111111111111,7.157832625958403,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr15,6,60000001,70000000,60.000001,70.0,chr15:60.0-70.0 Mb,10000000,65000000.5,104043685,2013372444,2065.3942865,15,2078372444.5,1.1111111111111112,0.35136418446315326,11.11111111111111,3.5136418446315325,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr15,7,70000001,80000000,70.000001,80.0,chr15:70.0-80.0 Mb,10000000,75000000.5,104043685,2013372444,2065.3942865,15,2088372444.5,6.111111111111111,0.5121969142940493,61.111111111111114,5.121969142940493,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
