species,dataset,donor,stage_label,n_variants,n_unique_exact_sites,exact_site_same_site_pairs,total_site_pairs,exact_site_collision_rate,same_window_pairs_10bp,empirical_same_window_probability_10bp,top_10bp_chrom,top_10bp_start,top_10bp_end,top_10bp_n_unique_sites,top_window_pairs_10bp,top_window_pair_fraction_10bp,top_two_germ_layer_10bp_chrom,top_two_germ_layer_10bp_start,top_two_germ_layer_10bp_end,top_two_germ_layer_10bp_n_unique_sites,top_two_germ_layer_10bp_n_germ_layers,top_two_germ_layer_10bp_germ_layers,top_two_germ_layer_10bp_window_pairs,top_two_germ_layer_10bp_window_pair_fraction,top_two_germ_layer_10bp_mutation_frequency_per_bp,top_two_germ_layer_10bp_mutation_frequency_per_kb,top_two_germ_layer_10bp_random_exact_site_probability,top_two_germ_layer_10bp_uniform_same_position_probability_given_window_hits,same_window_pairs_100bp,empirical_same_window_probability_100bp,top_100bp_chrom,top_100bp_start,top_100bp_end,top_100bp_n_unique_sites,top_window_pairs_100bp,top_window_pair_fraction_100bp,top_two_germ_layer_100bp_chrom,top_two_germ_layer_100bp_start,top_two_germ_layer_100bp_end,top_two_germ_layer_100bp_n_unique_sites,top_two_germ_layer_100bp_n_germ_layers,top_two_germ_layer_100bp_germ_layers,top_two_germ_layer_100bp_window_pairs,top_two_germ_layer_100bp_window_pair_fraction,top_two_germ_layer_100bp_mutation_frequency_per_bp,top_two_germ_layer_100bp_mutation_frequency_per_kb,top_two_germ_layer_100bp_random_exact_site_probability,top_two_germ_layer_100bp_uniform_same_position_probability_given_window_hits,same_window_pairs_1kb,empirical_same_window_probability_1kb,top_1kb_chrom,top_1kb_start,top_1kb_end,top_1kb_n_unique_sites,top_window_pairs_1kb,top_window_pair_fraction_1kb,top_two_germ_layer_1kb_chrom,top_two_germ_layer_1kb_start,top_two_germ_layer_1kb_end,top_two_germ_layer_1kb_n_unique_sites,top_two_germ_layer_1kb_n_germ_layers,top_two_germ_layer_1kb_germ_layers,top_two_germ_layer_1kb_window_pairs,top_two_germ_layer_1kb_window_pair_fraction,top_two_germ_layer_1kb_mutation_frequency_per_bp,top_two_germ_layer_1kb_mutation_frequency_per_kb,top_two_germ_layer_1kb_random_exact_site_probability,top_two_germ_layer_1kb_uniform_same_position_probability_given_window_hits
Mouse,TabMur,18-F-50,Tissue-specific,173,173,0,14878,0.0,0,0.0,chr1,9271891,9271900,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,5,0.0003360666756284447,chr4,155733401,155733500,2,1,6.721333512568894e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,7,0.00047049334587982255,chr4,155733001,155734000,2,1,6.721333512568894e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,18-F-50,Adult-specific,675,675,0,227475,0.0,5,2.1980437410704472e-05,chr5,147433731,147433740,2,1,4.396087482140895e-06,chr9,72723031,72723040,2,2,Endoderm;Mesoderm,1,4.396087482140895e-06,0.2,200.0,4.396087482140895e-07,0.1,47,0.00020661611166062203,chr1,85099201,85099300,3,3,1.3188262446422684e-05,chr4,126389401,126389500,2,2,Ectoderm;Mesoderm,1,4.396087482140895e-06,0.02,20.0,4.396087482140895e-08,0.01,77,0.00033849873612484886,chr11,75593001,75594000,4,6,2.6376524892845368e-05,chr11,75593001,75594000,4,2,Endoderm;Mesoderm,6,2.6376524892845368e-05,0.004,4.0,2.637652489284537e-08,0.001
Mouse,TabMur,18-M-52,Embryoblast,45,45,0,990,0.0,0,0.0,chr1,39371721,39371730,1,0,0.0,chr12,84971731,84971740,1,3,Ectoderm;Endoderm;Mesoderm,0,0.0,0.1,100.0,0.0,0.1,2,0.00202020202020202,chr5,97093801,97093900,2,1,0.00101010101010101,chr5,97093801,97093900,2,2,Endoderm;Mesoderm,1,0.00101010101010101,0.02,20.0,1.0101010101010101e-05,0.01,2,0.00202020202020202,chr5,97093001,97094000,2,1,0.00101010101010101,chr5,97093001,97094000,2,2,Endoderm;Mesoderm,1,0.00101010101010101,0.002,2.0,1.01010101010101e-06,0.001
Mouse,TabMur,18-M-52,Germ layer-specific,30,30,0,435,0.0,0,0.0,chr1,85611261,85611270,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,1,0.0022988505747126436,chr4,155733401,155733500,2,1,0.0022988505747126436,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,1,0.0022988505747126436,chr4,155733001,155734000,2,1,0.0022988505747126436,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,18-M-52,Tissue-specific,212,212,0,22366,0.0,2,8.942144326209425e-05,chr5,88520701,88520710,2,1,4.4710721631047124e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,17,0.0007600822677278011,chr1,5139601,5139700,2,1,4.4710721631047124e-05,chr4,41362901,41363000,2,2,Endoderm;Mesoderm,1,4.4710721631047124e-05,0.02,20.0,4.4710721631047124e-07,0.01,30,0.0013413216489314137,chr6,66540001,66541000,4,6,0.00026826432978628275,chr4,41362001,41363000,3,2,Endoderm;Mesoderm,3,0.00013413216489314137,0.003,3.0,1.3413216489314138e-07,0.001
Mouse,TabMur,18-M-52,Adult-specific,702,702,0,246051,0.0,6,2.4385188436543643e-05,chr1,74252221,74252230,2,1,4.0641980727572735e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,43,0.00017476051712856278,chr16,33746901,33747000,5,10,4.064198072757274e-05,chr11,85636401,85636500,2,2,Endoderm;Mesoderm,1,4.0641980727572735e-06,0.02,20.0,4.0641980727572735e-08,0.01,69,0.0002804296670202519,chr16,33746001,33747000,5,10,4.064198072757274e-05,chr13,63292001,63293000,3,2,Endoderm;Mesoderm,3,1.2192594218271821e-05,0.003,3.0,1.2192594218271821e-08,0.001
Mouse,TabMur,21-F-54,Embryoblast,56,56,0,1540,0.0,1,0.0006493506493506494,chr11,117824801,117824810,2,1,0.0006493506493506494,chr11,117824801,117824810,2,2,Ectoderm;Mesoderm,1,0.0006493506493506494,0.2,200.0,6.493506493506494e-05,0.1,1,0.0006493506493506494,chr11,117824801,117824900,2,1,0.0006493506493506494,chr11,117824801,117824900,2,2,Ectoderm;Mesoderm,1,0.0006493506493506494,0.02,20.0,6.493506493506494e-06,0.01,1,0.0006493506493506494,chr11,117824001,117825000,2,1,0.0006493506493506494,chr11,117824001,117825000,2,2,Ectoderm;Mesoderm,1,0.0006493506493506494,0.002,2.0,6.493506493506493e-07,0.001
Mouse,TabMur,21-F-54,Germ layer-specific,53,53,0,1378,0.0,0,0.0,chr1,85091791,85091800,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,1,0.000725689404934688,chr4,126389401,126389500,2,1,0.000725689404934688,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,2,0.001451378809869376,chr1,85259001,85260000,2,1,0.000725689404934688,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,21-F-54,Tissue-specific,206,206,0,21115,0.0,1,4.735969689793985e-05,chr8,25239161,25239170,2,1,4.735969689793985e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,9,0.0004262372720814587,chr1,88273801,88273900,2,1,4.735969689793985e-05,chr11,60797001,60797100,2,2,Ectoderm;Mesoderm,1,4.735969689793985e-05,0.02,20.0,4.7359696897939854e-07,0.01,13,0.0006156760596732181,chr2,29709001,29710000,3,3,0.00014207909069381957,chr11,60797001,60798000,2,2,Ectoderm;Mesoderm,1,4.735969689793985e-05,0.002,2.0,4.7359696897939857e-08,0.001
Mouse,TabMur,21-F-54,Adult-specific,680,680,0,230860,0.0,2,8.663259118080221e-06,chr4,42992661,42992670,2,1,4.331629559040111e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,55,0.0002382396257472061,chr3,122023301,122023400,3,3,1.2994888677120332e-05,chr2,59165901,59166000,2,2,Ectoderm;Mesoderm,1,4.331629559040111e-06,0.02,20.0,4.331629559040111e-08,0.01,83,0.00035952525340032923,chr12,113426001,113427000,5,10,4.331629559040111e-05,chr2,59165001,59166000,2,2,Ectoderm;Mesoderm,1,4.331629559040111e-06,0.002,2.0,4.331629559040111e-09,0.001
Mouse,TabMur,21-F-55,Embryoblast,96,96,0,4560,0.0,0,0.0,chr1,85819211,85819220,1,0,0.0,chr1,85819211,85819220,1,3,Ectoderm;Endoderm;Mesoderm,0,0.0,0.1,100.0,0.0,0.1,4,0.0008771929824561404,chr5,107390101,107390200,2,1,0.0002192982456140351,chr5,107390101,107390200,2,3,Ectoderm;Endoderm;Mesoderm,1,0.0002192982456140351,0.02,20.0,2.1929824561403507e-06,0.01,7,0.0015350877192982456,chr5,107390001,107391000,2,1,0.0002192982456140351,chr5,107390001,107391000,2,3,Ectoderm;Endoderm;Mesoderm,1,0.0002192982456140351,0.002,2.0,2.192982456140351e-07,0.001
Mouse,TabMur,21-F-55,Germ layer-specific,58,58,0,1653,0.0,0,0.0,chr1,58396551,58396560,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,4,0.0024198427102238356,chr3,136210301,136210400,2,1,0.0006049606775559589,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,5,0.0030248033877797943,chr1,85259001,85260000,2,1,0.0006049606775559589,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,21-F-55,Tissue-specific,259,259,0,33411,0.0,3,8.979078746520607e-05,chr2,34807251,34807260,2,1,2.9930262488402023e-05,chr9,66026441,66026450,2,2,Ectoderm;Endoderm,1,2.9930262488402023e-05,0.2,200.0,2.9930262488402024e-06,0.1,15,0.00044895393732603036,chr1,85091601,85091700,2,1,2.9930262488402023e-05,chr9,66026401,66026500,2,2,Ectoderm;Endoderm,1,2.9930262488402023e-05,0.02,20.0,2.993026248840202e-07,0.01,24,0.0007183262997216486,chr6,66540001,66541000,3,3,8.979078746520607e-05,chr5,65481001,65482000,2,2,Ectoderm;Mesoderm,1,2.9930262488402023e-05,0.002,2.0,2.9930262488402024e-08,0.001
Mouse,TabMur,21-F-55,Adult-specific,897,897,0,401856,0.0,6,1.4930721452460582e-05,chr4,116237711,116237720,2,1,2.488453575410097e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,56,0.00013935340022296544,chr2,152243401,152243500,4,6,1.4930721452460582e-05,chr16,5042701,5042800,3,2,Endoderm;Mesoderm,3,7.465360726230291e-06,0.03,30.0,7.465360726230291e-08,0.01,91,0.00022644927536231884,chr2,152243001,152244000,4,6,1.4930721452460582e-05,chr16,5042001,5043000,3,2,Endoderm;Mesoderm,3,7.465360726230291e-06,0.003,3.0,7.465360726230291e-09,0.001
Mouse,TabMur,30-M-2,Embryoblast,12,12,0,66,0.0,0,0.0,chr1,171444961,171444970,1,0,0.0,chr1,171444961,171444970,1,2,Ectoderm;Mesoderm,0,0.0,0.1,100.0,0.0,0.1,0,0.0,chr1,171444901,171445000,1,0,0.0,chr1,171444901,171445000,1,2,Ectoderm;Mesoderm,0,0.0,0.01,10.0,0.0,0.01,0,0.0,chr1,171444001,171445000,1,0,0.0,chr1,171444001,171445000,1,2,Ectoderm;Mesoderm,0,0.0,0.001,1.0,0.0,0.001
Mouse,TabMur,30-M-2,Germ layer-specific,41,41,0,820,0.0,0,0.0,chr1,85615741,85615750,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,4,0.004878048780487805,chr5,95960901,95961000,3,3,0.003658536585365854,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,4,0.004878048780487805,chr5,95960001,95961000,3,3,0.003658536585365854,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,30-M-2,Tissue-specific,325,325,0,52650,0.0,1,1.899335232668566e-05,chr15,89513531,89513540,2,1,1.899335232668566e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,24,0.0004558404558404558,chr4,3793301,3793400,4,6,0.00011396011396011396,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,44,0.000835707502374169,chr4,3793001,3794000,5,10,0.0001899335232668566,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,30-M-2,Adult-specific,735,735,0,269745,0.0,6,2.22432297169549e-05,chr1,162584811,162584820,2,1,3.707204952825817e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,64,0.00023726111698085228,chr14,21521701,21521800,4,6,2.22432297169549e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,83,0.0003076980110845428,chr14,21521001,21522000,4,6,2.22432297169549e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,30-M-4,Embryoblast,15,15,0,105,0.0,0,0.0,chr2,163634831,163634840,1,0,0.0,chr2,163634831,163634840,1,2,Endoderm;Mesoderm,0,0.0,0.1,100.0,0.0,0.1,0,0.0,chr2,163634801,163634900,1,0,0.0,chr2,163634801,163634900,1,2,Endoderm;Mesoderm,0,0.0,0.01,10.0,0.0,0.01,0,0.0,chr2,163634001,163635000,1,0,0.0,chr2,163634001,163635000,1,2,Endoderm;Mesoderm,0,0.0,0.001,1.0,0.0,0.001
Mouse,TabMur,30-M-4,Germ layer-specific,14,14,0,91,0.0,0,0.0,chr1,85091791,85091800,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,chr1,85091701,85091800,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,chr1,85091001,85092000,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,30-M-4,Tissue-specific,124,124,0,7626,0.0,0,0.0,chr1,55011021,55011030,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,7,0.0009179124049305009,chr5,97093801,97093900,2,1,0.00013113034356150013,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,15,0.001966955153422502,chr5,108071001,108072000,3,3,0.0003933910306845004,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,30-M-4,Adult-specific,562,562,0,157641,0.0,6,3.806116429101566e-05,chr2,37688851,37688860,2,1,6.343527381835944e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,39,0.0002473975678916018,chr2,37688801,37688900,4,6,3.806116429101566e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,59,0.00037426811552832066,chr2,37688001,37689000,4,6,3.806116429101566e-05,chr18,38465001,38466000,2,2,Endoderm;Mesoderm,1,6.343527381835944e-06,0.002,2.0,6.343527381835944e-09,0.001
Mouse,TabMur,30-M-5,Embryoblast,43,43,0,903,0.0,0,0.0,chr1,74252211,74252220,1,0,0.0,chr1,74252211,74252220,1,2,Endoderm;Mesoderm,0,0.0,0.1,100.0,0.0,0.1,1,0.0011074197120708748,chr1,74252201,74252300,2,1,0.0011074197120708748,chr1,74252201,74252300,2,2,Endoderm;Mesoderm,1,0.0011074197120708748,0.02,20.0,1.1074197120708748e-05,0.01,2,0.0022148394241417496,chr1,74252001,74253000,2,1,0.0011074197120708748,chr1,74252001,74253000,2,2,Endoderm;Mesoderm,1,0.0011074197120708748,0.002,2.0,1.1074197120708748e-06,0.001
Mouse,TabMur,30-M-5,Germ layer-specific,51,51,0,1275,0.0,0,0.0,chr1,36366081,36366090,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,chr1,36366001,36366100,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,2,0.001568627450980392,chr11,85636001,85637000,2,1,0.000784313725490196,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Mouse,TabMur,30-M-5,Tissue-specific,240,240,0,28680,0.0,1,3.486750348675035e-05,chr11,117824801,117824810,2,1,3.486750348675035e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,13,0.00045327754532775456,chr1,85615701,85615800,3,3,0.00010460251046025104,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,20,0.000697350069735007,chr1,85099001,85100000,3,3,0.00010460251046025104,chr19,4377001,4378000,2,2,Endoderm;Mesoderm,1,3.486750348675035e-05,0.002,2.0,3.486750348675035e-08,0.001
Mouse,TabMur,30-M-5,Adult-specific,1037,1037,0,537166,0.0,6,1.1169731516886773e-05,chr2,44218881,44218890,2,1,1.8616219194811288e-06,chr14,20349881,20349890,2,2,Endoderm;Mesoderm,1,1.8616219194811288e-06,0.2,200.0,1.8616219194811288e-07,0.1,62,0.00011542055900782998,chr5,139485101,139485200,3,3,5.584865758443386e-06,chr5,139485101,139485200,3,2,Endoderm;Mesoderm,3,5.584865758443386e-06,0.03,30.0,5.5848657584433866e-08,0.01,121,0.00022525625225721657,chr2,163641001,163642000,4,6,1.1169731516886773e-05,chr2,23072001,23073000,3,2,Endoderm;Mesoderm,3,5.584865758443386e-06,0.003,3.0,5.584865758443386e-09,0.001
Human,TabSap,TSP1,Embryoblast,141,141,0,9870,0.0,2,0.00020263424518743666,chr3,131023591,131023600,2,1,0.00010131712259371833,chr3,131023591,131023600,2,2,Endoderm;Mesoderm,1,0.00010131712259371833,0.2,200.0,1.0131712259371834e-05,0.1,2,0.00020263424518743666,chr3,131023501,131023600,2,1,0.00010131712259371833,chr3,131023501,131023600,2,2,Endoderm;Mesoderm,1,0.00010131712259371833,0.02,20.0,1.0131712259371833e-06,0.01,3,0.00030395136778115504,chr3,131023001,131024000,2,1,0.00010131712259371833,chr3,131023001,131024000,2,2,Endoderm;Mesoderm,1,0.00010131712259371833,0.002,2.0,1.0131712259371833e-07,0.001
Human,TabSap,TSP1,Germ layer-specific,283,283,0,39903,0.0,1,2.5060772373004537e-05,chr14,35784671,35784680,2,1,2.5060772373004537e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,8,0.0002004861789840363,chr8,16108401,16108500,3,3,7.518231711901361e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,8,0.0002004861789840363,chr8,16108001,16109000,3,3,7.518231711901361e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP1,Tissue-specific,59,59,0,1711,0.0,0,0.0,chr1,12198181,12198190,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,chr1,12198101,12198200,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,chr1,12198001,12199000,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP1,Adult-specific,773,773,0,298378,0.0,0,0.0,chr1,1822821,1822830,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,6,2.010872115236378e-05,chr3,169288601,169288700,2,1,3.3514535253939634e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,7,2.3460174677757744e-05,chr3,169288001,169289000,2,1,3.3514535253939634e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP10,Embryoblast,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP10,Germ layer-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP10,Tissue-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
