species,dataset,scope,chromosome,chrom_length_bp,observed_n_variants,expected_n_variants,observed_fraction,expected_fraction,variants_per_100mb,log2_observed_over_expected,standardized_residual
Mouse,TabMur,Embryoblast,chr5,151834684,48,27.373759559186063,0.10810810810810811,0.06165261161978843,31.613330192724607,0.7990771437961568,3.9423288836026096
Mouse,TabMur,Embryoblast,chr6,149736546,24,26.995493384285005,0.05405405405405406,0.060800660775416675,16.02815120364804,-0.16641342559350686,-0.5765310874887816
Mouse,TabMur,Embryoblast,chr7,145441459,25,26.221146734847608,0.05630630630630631,0.05905663679019731,17.18904648776935,-0.06748467514319141,-0.23847453582546776
Mouse,TabMur,Embryoblast,chr8,129401213,17,23.329305254977328,0.038288288288288286,0.05254348030400299,13.137434809053914,-0.4453819682112476,-1.310403784956236
Mouse,TabMur,Embryoblast,chr9,124595110,23,22.462829266271857,0.0518018018018018,0.050591957806918594,18.45979348627727,0.03336034835896246,0.11333919278336368
Mouse,TabMur,Embryoblast,chr10,130694993,25,23.562556457597697,0.05630630630630631,0.053068820850445265,19.128506323115225,0.08370732141258076,0.2961280808794481
Mouse,TabMur,Embryoblast,chr11,122082543,31,22.009847094330528,0.06981981981981981,0.04957172768993362,25.392655852524303,0.4847955717760743,1.9162782291476248
Mouse,TabMur,Embryoblast,chr12,120129022,22,21.657653427251002,0.04954954954954955,0.04877849871002478,18.313642809811604,0.02211989840015579,0.07356314441281203
Mouse,TabMur,Embryoblast,chr13,120421639,17,21.710408352475664,0.038288288288288286,0.048897316109179426,14.11706412665584,-0.3438809959365104,-1.010938095034464
Mouse,TabMur,Embryoblast,chr14,124902244,10,22.51820141212788,0.02252252252252252,0.05071666984713486,8.006261280621988,-1.132385781200927,-2.638001785824065
Mouse,TabMur,Embryoblast,chr15,104043685,17,18.75768264411637,0.038288288288288286,0.04224703298224408,16.339290558576426,-0.1380791861608411,-0.4058362837209999
Mouse,TabMur,Embryoblast,chr16,98207768,13,17.705544986521836,0.02927927927927928,0.03987735357324738,13.237242088629895,-0.4314185215087399,-1.118292160000581
Mouse,TabMur,Embryoblast,chr17,94987271,22,17.124932518957575,0.04954954954954955,0.03856966783549003,23.160998066783076,0.3523072676047326,1.1780567097771175
Mouse,TabMur,Embryoblast,chr18,90702639,17,16.352470765965784,0.038288288288288286,0.03682988911253555,18.74256381889837,0.05439479946409685,0.16012815127017063
Mouse,TabMur,Embryoblast,chr19,61431566,9,11.075288417159477,0.02027027027027027,0.024944343281890716,14.650448598363909,-0.2850487224732854,-0.6235925811726841
Mouse,TabMur,Germ layer-specific,chr1,195471971,33,27.621306958395003,0.09482758620689655,0.07937157171952587,16.882215813949102,0.2524974492901731,1.0234217629699651
Mouse,TabMur,Germ layer-specific,chr2,182113224,30,25.73363963924499,0.08620689655172414,0.07394724034265802,16.47326830038438,0.2173912625518521,0.8410211703859876
Mouse,TabMur,Germ layer-specific,chr3,160039680,11,22.614521684049066,0.031609195402298854,0.06498425771278467,6.873295422735162,-1.0071656475781086,-2.442348455872057
Mouse,TabMur,Germ layer-specific,chr4,156508116,33,22.115491501930435,0.09482758620689655,0.06355026293658171,21.08516851611708,0.5668497452039035,2.314517798970451
Mouse,TabMur,Germ layer-specific,chr5,151834684,22,21.455108843686375,0.06321839080459771,0.06165261161978843,14.48944300499878,0.0353683147183578,0.11763712398104802
Mouse,TabMur,Germ layer-specific,chr6,149736546,23,21.158629949845004,0.06609195402298851,0.060800660775416675,15.360311570162706,0.11771877086519777,0.40031079669595676
Mouse,TabMur,Germ layer-specific,chr7,145441459,27,20.551709602988666,0.07758620689655173,0.05905663679019731,18.564170206790898,0.385494219758848,1.422396287895437
Mouse,TabMur,Germ layer-specific,chr8,129401213,24,18.28513114579304,0.06896551724137931,0.05254348030400299,18.546966789252586,0.38319056123725936,1.3364638893212093
Mouse,TabMur,Germ layer-specific,chr9,124595110,20,17.60600131680767,0.05747126436781609,0.050591957806918594,16.051994335893276,0.17915594529736473,0.5705497799253212
Mouse,TabMur,Germ layer-specific,chr10,130694993,10,18.467949655954953,0.028735632183908046,0.053068820850445265,7.65140252924609,-0.8531744108973122,-1.9704659127694555
Mouse,TabMur,Germ layer-specific,chr11,122082543,28,17.2509612360969,0.08045977011494253,0.04957172768993362,22.93530206034453,0.683064768857142,2.5879922974698193
Mouse,TabMur,Germ layer-specific,chr12,120129022,15,16.974917551088623,0.04310344827586207,0.04877849871002478,12.486574643053366,-0.1730174332962675,-0.47934161263690644
Mouse,TabMur,Germ layer-specific,chr13,120421639,7,17.01626600599444,0.020114942528735632,0.048897316109179426,5.812908758034758,-1.2237327634430089,-2.428139962882375
Mouse,TabMur,Germ layer-specific,chr14,124902244,8,17.64940110680293,0.022988505747126436,0.05071666984713486,6.40500902449759,-1.0943871966513972,-2.2968644871028747
Mouse,TabMur,Germ layer-specific,chr15,104043685,14,14.70196747782094,0.040229885057471264,0.04224703298224408,13.455886342357058,-0.06820515282380361,-0.1830750927616487
Mouse,TabMur,Germ layer-specific,chr16,98207768,8,13.877319043490088,0.022988505747126436,0.03987735357324738,8.14599513146455,-0.758259933360252,-1.5777074636462949
Mouse,TabMur,Germ layer-specific,chr17,94987271,16,13.422244406750531,0.04597701149425287,0.03856966783549003,16.84436223038769,0.24507421748876346,0.7036054042729758
Mouse,TabMur,Germ layer-specific,chr18,90702639,11,12.81680141116237,0.031609195402298854,0.03682988911253555,12.127541294581297,-0.21161373907713268,-0.5074784806182234
Mouse,TabMur,Germ layer-specific,chr19,61431566,8,8.680631462097969,0.022988505747126436,0.024944343281890716,13.022620976323473,-0.11113054723690134,-0.23101296868584179
Mouse,TabMur,Tissue-specific,chr1,195471971,133,150.40912840850152,0.07018469656992084,0.07937157171952587,68.0404455531888,-0.17684033440478356,-1.4195148210237434
Mouse,TabMur,Tissue-specific,chr2,182113224,173,140.13002044933697,0.09129287598944591,0.07394724034265802,94.99584719888325,0.3030310617764473,2.776731206815528
Mouse,TabMur,Tissue-specific,chr3,160039680,88,123.14516836572695,0.04643799472295514,0.06498425771278467,54.9863633818813,-0.48245650488664976,-3.167064729805008
Mouse,TabMur,Tissue-specific,chr4,156508116,130,120.42774826482234,0.06860158311345646,0.06355026293658171,83.06278506349153,0.10990448122576785,0.8722697836543536
Mouse,TabMur,Tissue-specific,chr5,151834684,164,116.83169901949908,0.08654353562005276,0.06165261161978843,108.01221149180908,0.48749475098573275,4.363850731773193
Mouse,TabMur,Tissue-specific,chr6,149736546,114,115.21725216941459,0.06015831134564644,0.060800660775416675,76.1337182173282,-0.015256372119575824,-0.11340228370184638
Mouse,TabMur,Tissue-specific,chr7,145441459,160,111.91232671742391,0.08443271767810026,0.05905663679019731,110.00989752172384,0.5137730525448299,4.545637527024708
Mouse,TabMur,Tissue-specific,chr8,129401213,126,99.56989517608567,0.06649076517150396,0.05254348030400299,97.37157564357608,0.3381293629187298,2.648712741056392
Mouse,TabMur,Tissue-specific,chr9,124595110,66,95.87176004411073,0.034828496042216356,0.050591957806918594,52.97158130844782,-0.5352561127602395,-3.0508121113012407
Mouse,TabMur,Tissue-specific,chr10,130694993,83,100.56541551159378,0.043799472295514515,0.053068820850445265,63.50664099274255,-0.27544129013081803,-1.7515966316144935
Mouse,TabMur,Tissue-specific,chr11,122082543,167,93.9384239724242,0.08812664907651716,0.04957172768993362,136.7926944313406,0.8267152249833415,7.538195585210888
Mouse,TabMur,Tissue-specific,chr12,120129022,65,92.43525505549695,0.03430079155672823,0.04877849871002478,54.10849011989792,-0.5047310811869881,-2.8535808383584707
Mouse,TabMur,Tissue-specific,chr13,120421639,62,92.66041402689501,0.03271767810026385,0.048897316109179426,51.485763285450716,-0.5758608614659922,-3.1851573875834402
Mouse,TabMur,Tissue-specific,chr14,124902244,75,96.10808936032056,0.0395778364116095,0.05071666984713486,60.046959604664906,-0.3556673519877015,-2.153123555976757
Mouse,TabMur,Tissue-specific,chr15,104043685,74,80.05812750135253,0.03905013192612137,0.04224703298224408,71.12397066674446,-0.11278972405702826,-0.6770733115107275
Mouse,TabMur,Tissue-specific,chr16,98207768,44,75.56758502130378,0.02321899736147757,0.03987735357324738,44.80297322305503,-0.7734764672994315,-3.6313958019269044
Mouse,TabMur,Tissue-specific,chr17,94987271,74,73.08952054825362,0.03905013192612137,0.03856966783549003,77.90517531554308,0.0177400903997662,0.10649827964506804
Mouse,TabMur,Tissue-specific,chr18,90702639,51,69.79263986825487,0.02691292875989446,0.03682988911253555,56.227691456695105,-0.44880120463408324,-2.249484362464342
Mouse,TabMur,Tissue-specific,chr19,61431566,46,47.26953051918291,0.024274406332453827,0.024944343281890716,74.88007061385997,-0.038859981794811475,-0.18465135597221732
Mouse,TabMur,Adult-specific,chr1,195471971,389,580.9205334152099,0.05314933734116683,0.07937157171952587,199.00551368564243,-0.5779586942247007,-7.962749954836601
Mouse,TabMur,Adult-specific,chr2,182113224,700,541.2198520679141,0.09564148107664981,0.07394724034265802,384.3762603423022,0.37083808933736273,6.82510509424829
Mouse,TabMur,Adult-specific,chr3,160039680,320,475.619782199871,0.043721819920754204,0.06498425771278467,199.95041229775018,-0.5710002155258679,-7.135671496607616
Mouse,TabMur,Adult-specific,chr4,156508116,605,465.12437443284153,0.08266156578767592,0.06355026293658171,386.5614227954798,0.37896037771944185,6.485709499902569
Mouse,TabMur,Adult-specific,chr5,151834684,495,451.2354644452315,0.06763219018991666,0.06165261161978843,326.0124676124725,0.1334068773737109,2.0602537404448236
Mouse,TabMur,Adult-specific,chr6,149736546,399,445.00003621527463,0.054515644213690394,0.060800660775416675,266.46801376064866,-0.15723004587249745,-2.180610758480631
Mouse,TabMur,Adult-specific,chr7,145441459,479,432.2355246674541,0.06544609919387895,0.05905663679019731,329.34213070566074,0.14804525409114472,2.249343785425583
Mouse,TabMur,Adult-specific,chr8,129401213,462,384.5657323449979,0.06312337751058889,0.05254348030400299,357.0291106931123,0.26434862466918774,3.948643302999066
Mouse,TabMur,Adult-specific,chr9,124595110,326,370.2825391888372,0.044541604044268344,0.050591957806918594,261.6475076750604,-0.1834903147084557,-2.3012611144274433
Mouse,TabMur,Adult-specific,chr10,130694993,367,388.4106998044089,0.050143462221614976,0.053068820850445265,280.8064728233315,-0.0816946771409649,-1.086388775248872
Mouse,TabMur,Adult-specific,chr11,122082543,770,362.8154749626242,0.1052056291843148,0.04957172768993362,630.7208066594746,1.084572139909419,21.37707904543102
Mouse,TabMur,Adult-specific,chr12,120129022,309,357.00983205867135,0.042218882360978274,0.04877849871002478,257.22343764689936,-0.20804350928291448,-2.5409147738989413
Mouse,TabMur,Adult-specific,chr13,120421639,260,357.87945660308424,0.035523978685612786,0.048897316109179426,215.90803958414816,-0.46020456760852196,-5.17396116917417
Mouse,TabMur,Adult-specific,chr14,124902244,239,371.19530661118006,0.03265473425331329,0.05071666984713486,191.3496446068655,-0.6340948154732844,-6.861432547483444
Mouse,TabMur,Adult-specific,chr15,104043685,277,309.20603439704445,0.03784670036890286,0.04224703298224408,266.2343226309218,-0.1584117216882799,-1.8315267749833453
Mouse,TabMur,Adult-specific,chr16,98207768,206,291.8623508025976,0.028145921573985516,0.03987735357324738,209.75937463521217,-0.5016157573899896,-5.0258987668450406
Mouse,TabMur,Adult-specific,chr17,94987271,267,282.2913988879516,0.036480393496379285,0.03856966783549003,281.0902947195946,-0.08019934967170506,-0.9101194473448586
Mouse,TabMur,Adult-specific,chr18,90702639,228,269.55795841464766,0.03115179669353737,0.03682988911253555,251.3708559240487,-0.24107489882276675,-2.5312096932185475
Mouse,TabMur,Adult-specific,chr19,61431566,221,182.56764848015814,0.03019538188277087,0.024944343281890716,359.749904470936,0.2749298366512311,2.8443631735005397
Human,TabSap,Overall,chr1,248956422,1089,994.2664779584071,0.09484410381466643,0.08659349224511471,437.425952402224,0.13123639948602064,3.004362173504985
Human,TabSap,Overall,chr2,242193529,1040,967.2572618478079,0.09057655460721128,0.08424118288171119,429.4086651671028,0.10455983172097474,2.33893765154485
Human,TabSap,Overall,chr3,198295559,819,791.9403141234233,0.07132903675317889,0.06897233183447338,413.0198397433601,0.048441672446032126,0.9615603016080798
Human,TabSap,Overall,chr4,190214555,564,759.6669093206832,0.049120362306218426,0.0661615493224772,296.507278320526,-0.42934264388851373,-7.0991406485002
Human,TabSap,Overall,chr5,181538259,656,725.0160648221042,0.05713290367531789,0.06314370883313919,361.3563353606911,-0.14421254856680718,-2.56316390174144
Human,TabSap,Overall,chr6,170805979,660,682.1541609180407,0.05748127503919178,0.059410743852816646,386.4033354476426,-0.04759631910606521,-0.848230803171622
Human,TabSap,Overall,chr7,159345973,666,636.385910750137,0.058003832085002614,0.05542465691953814,417.95847580032665,0.06556991843182053,1.1739189219359347
Human,TabSap,Overall,chr8,145138636,493,579.6455430718204,0.04293677059745689,0.050482977100837864,339.67523299585093,-0.2333647947434874,-3.598860209320136
Human,TabSap,Overall,chr9,138394717,527,552.7121041273662,0.04589792719038495,0.04813726738611445,380.7948825098577,-0.0686616287811765,-1.0936746112392857
Human,TabSap,Overall,chr10,133797422,599,534.3517169115432,0.052168611740114966,0.04653820910220722,447.6917350470325,0.1646207816180188,2.7966839557306327
Human,TabSap,Overall,chr11,135086622,485,539.5004426728092,0.04224002786970911,0.046986626256123425,359.02889036636066,-0.15348929430127708,-2.3464112223440434
Human,TabSap,Overall,chr12,133275309,614,532.2665348968118,0.05347500435464205,0.04635660467660789,460.70048879046306,0.20590954653467877,3.542707774920914
Human,TabSap,Overall,chr13,114364328,333,456.741050064738,0.029001916042501307,0.03977887563706131,291.17470965247134,-0.4552681698466103,-5.7900028047784105
Human,TabSap,Overall,chr14,107043718,379,427.50445892668296,0.03300818672705104,0.03723257785461444,354.0609454540807,-0.17352594098078444,-2.345909964215447
Human,TabSap,Overall,chr15,101991189,422,407.3259868340341,0.03675317888869535,0.03547517739366261,413.7612318648428,0.050997634009682734,0.7270727118643716
Human,TabSap,Overall,chr16,90338345,397,360.7875924074032,0.03457585786448354,0.03142201640893601,439.45901377759355,0.13780715082364423,1.9064771444925757
Human,TabSap,Overall,chr17,83257441,513,332.50832399454987,0.044678627416826336,0.028959094582350624,616.1611428821119,0.6248060366776664,9.898192980121262
Human,TabSap,Overall,chr18,80373285,269,320.9897634168974,0.023427974220519072,0.027955910417775422,334.68832336515794,-0.25448752833035915,-2.9018318946088923
Human,TabSap,Overall,chr19,58617616,354,234.10334281972598,0.030830865702839227,0.02038872520638617,603.9140179293543,0.5955620572565864,7.836159500069811
Human,TabSap,Overall,chr20,64444167,234,257.3730552251165,0.02037972478662254,0.022415350568290932,363.1050115055409,-0.13707311318629048,-1.456914099285649
Human,TabSap,Overall,chr21,46709983,144,186.54738813247835,0.012541369099460024,0.01624694200770583,308.28527597622974,-0.37233432798968014,-3.115145374429651
Human,TabSap,Overall,chr22,50818468,225,202.95559675741973,0.01959588921790629,0.017675979512055368,442.75242614555003,0.14841346615275863,1.5473830334370813
Human,TabSap,Embryoblast,chr1,248956422,169,170.6757732151211,0.08574327752409944,0.08659349224511471,67.88336635075837,-0.014193255855935442,-0.12827124353056546
Human,TabSap,Embryoblast,chr2,242193529,167,166.03937145985276,0.08472856418061897,0.08424118288171119,68.95312219510208,0.008297811395741367,0.07455039433160847
Human,TabSap,Embryoblast,chr3,198295559,143,135.94446604574702,0.07255200405885337,0.06897233183447338,72.11457519328509,0.07273685434651225,0.6051306067849297
Human,TabSap,Embryoblast,chr4,190214555,100,130.40441371460255,0.050735667174023336,0.0661615493224772,52.57221246817837,-0.3813182401632783,-2.6625053425939553
Human,TabSap,Embryoblast,chr5,181538259,114,124.45625011011734,0.0578386605783866,0.06314370883313919,62.796680230364004,-0.12607546618650758,-0.9372762386299806
Human,TabSap,Embryoblast,chr6,170805979,131,117.0985761339016,0.06646372399797057,0.059410743852816646,76.69520749036542,0.16119220717489044,1.2846460279082836
Human,TabSap,Embryoblast,chr7,159345973,117,109.24199878840967,0.0593607305936073,0.05542465691953814,73.42513764059792,0.09854499907136785,0.7422582343441703
Human,TabSap,Embryoblast,chr8,145138636,91,99.50194786575143,0.046169457128361235,0.050482977100837864,62.698673838990736,-0.12818445297959252,-0.8523199347774832
Human,TabSap,Embryoblast,chr9,138394717,101,94.87855401803158,0.05124302384576357,0.04813726738611445,72.97966438993477,0.08974291130834237,0.6284489324411827
Human,TabSap,Embryoblast,chr10,133797422,106,91.72681014045043,0.053779807204464736,0.04653820910220722,79.22424693653664,0.2075953252890988,1.490297240497897
Human,TabSap,Embryoblast,chr11,135086622,93,92.61064035081927,0.0471841704718417,0.046986626256123425,68.84471505994132,0.006020321768184997,0.04045949878245688
Human,TabSap,Embryoblast,chr12,133275309,93,91.36886781759415,0.0471841704718417,0.04635660467660789,69.78036719464669,0.0253903158308633,0.1706436118179723
Human,TabSap,Embryoblast,chr13,114364328,47,78.40416388064784,0.023845763571790968,0.03977887563706131,41.09673079179025,-0.73217392179457,-3.546644600108944
Human,TabSap,Embryoblast,chr14,107043718,55,73.38541095144505,0.027904616945712835,0.03723257785461444,51.38087598937847,-0.41280175358747534,-2.146191529050456
Human,TabSap,Embryoblast,chr15,101991189,70,69.92157464290901,0.035514967021816335,0.03547517739366261,68.63337969322036,0.0016057709505802684,0.009378878392248116
Human,TabSap,Embryoblast,chr16,90338345,71,61.93279434201287,0.03602232369355657,0.03142201640893601,78.5934256378064,0.1956392030845194,1.152160888853554
Human,TabSap,Embryoblast,chr17,83257441,75,57.07837542181308,0.0380517503805175,0.028959094582350624,90.08203843305729,0.39094956071105347,2.372146864977151
Human,TabSap,Embryoblast,chr18,80373285,53,55.10109943343536,0.026889903602232368,0.027955910417775422,65.94230906451067,-0.0555745189796558,-0.2830521600395033
Human,TabSap,Embryoblast,chr19,58617616,55,40.18617738178714,0.027904616945712835,0.02038872520638617,93.82844911331776,0.44794903126744395,2.3368389976915087
Human,TabSap,Embryoblast,chr20,64444167,43,44.18065597010143,0.021816336884830034,0.022415350568290932,66.72442519118914,-0.03863496565362484,-0.17762630744430827
Human,TabSap,Embryoblast,chr21,46709983,30,32.022722697188186,0.015220700152207,0.01624694200770583,64.22609916171453,-0.09263879755740471,-0.357443348978355
Human,TabSap,Embryoblast,chr22,50818468,47,34.83935561826113,0.023845763571790968,0.017675979512055368,92.48606235040378,0.4266517795759767,2.0602576316211767
Human,TabSap,Germ layer-specific,chr1,248956422,397,348.3656193020965,0.09868257519264231,0.08659349224511471,159.46565941568682,0.188283433418931,2.605708000125779
Human,TabSap,Germ layer-specific,chr2,242193529,384,338.9022787331241,0.09545115585384041,0.08424118288171119,158.55089175400718,0.1799873470780591,2.4497251087428196
Human,TabSap,Germ layer-specific,chr3,198295559,291,277.4756909700864,0.07233407904548844,0.06897233183447338,146.75063902969202,0.06853715893138596,0.811900137665085
Human,TabSap,Germ layer-specific,chr4,190214555,184,266.1679129243258,0.0457370121799652,0.0661615493224772,96.7328709414482,-0.531423425363959,-5.0364486034058435
Human,TabSap,Germ layer-specific,chr5,181538259,241,254.02714063571895,0.059905543127019636,0.06314370883313919,132.75438539927828,-0.07579631231995655,-0.8173518345842568
Human,TabSap,Germ layer-specific,chr6,170805979,243,239.00942251988135,0.06040268456375839,0.059410743852816646,142.26668259663205,0.023839358286432157,0.25812391060984524
Human,TabSap,Germ layer-specific,chr7,159345973,231,222.97339478730194,0.05741983594332588,0.05542465691953814,144.96757944425744,0.05090910924985653,0.5375333073646514
Human,TabSap,Germ layer-specific,chr8,145138636,195,203.09301687667073,0.048471290082028336,0.050482977100837864,134.35430108355158,-0.0585194711198306,-0.5678883384617738
Human,TabSap,Germ layer-specific,chr9,138394717,177,193.65622669433844,0.04399701715137957,0.04813726738611445,127.8950554160243,-0.1293989513748514,-1.1969083320632157
Human,TabSap,Germ layer-specific,chr10,133797422,192,187.22321521817963,0.047725577926920205,0.04653820910220722,143.50052275297202,0.0362513704437934,0.3491048038683794
Human,TabSap,Germ layer-specific,chr11,135086622,160,189.02719742838454,0.039771314939100175,0.046986626256123425,118.44252053323238,-0.23983159474058094,-2.11126602546843
Human,TabSap,Germ layer-specific,chr12,133275309,188,186.49262061399355,0.04673129505344271,0.04635660467660789,141.06138744724277,0.01158318607440646,0.11038034469880287
Human,TabSap,Germ layer-specific,chr13,114364328,124,160.03041668789766,0.030822769077802636,0.03977887563706131,108.42541740812747,-0.36670093727995795,-2.8481838313368866
Human,TabSap,Germ layer-specific,chr14,107043718,155,149.78666070911387,0.038528461347253296,0.03723257785461444,144.80065051552114,0.04919761756099812,0.4259703991502707
Human,TabSap,Germ layer-specific,chr15,101991189,135,142.7166386547047,0.03355704697986577,0.03547517739366261,132.36437512263927,-0.07990626050748591,-0.6459380378336635
Human,TabSap,Germ layer-specific,chr16,90338345,140,126.41077201314955,0.03479990057171265,0.03142201640893601,154.9729519618718,0.1467556020836159,1.208656085549005
Human,TabSap,Germ layer-specific,chr17,83257441,177,116.50243750479656,0.04399701715137957,0.028959094582350624,212.5936107020152,0.6012804389158913,5.604932295249393
Human,TabSap,Germ layer-specific,chr18,80373285,87,112.46662761071052,0.02162565249813572,0.027955910417775422,108.2449224266496,-0.3685417152602259,-2.401372879196591
Human,TabSap,Germ layer-specific,chr19,58617616,112,82.02384150529156,0.02783992045737012,0.02038872520638617,191.06884183075616,0.44704211573011804,3.309831796497662
Human,TabSap,Germ layer-specific,chr20,64444167,80,90.17695533623441,0.019885657469550087,0.022415350568290932,124.1384654719798,-0.17174716723544411,-1.0716922361959107
Human,TabSap,Germ layer-specific,chr21,46709983,47,65.36144769700056,0.011682823763360677,0.01624694200770583,100.6208886866861,-0.4715067106416443,-2.2711514117380216
Human,TabSap,Germ layer-specific,chr22,50818468,83,71.11046557699875,0.020631369624658214,0.017675979512055368,163.3264505336918,0.22160575070218042,1.4099317406574787
Human,TabSap,Tissue-specific,chr1,248956422,67,50.91697344012745,0.11394557823129252,0.08659349224511471,26.912340505921954,0.39264281092279124,2.253909576138811
Human,TabSap,Tissue-specific,chr2,242193529,64,49.53381553444618,0.10884353741496598,0.08424118288171119,26.425148625667866,0.3663956853644099,2.055431971122264
Human,TabSap,Tissue-specific,chr3,198295559,47,40.555731118670344,0.07993197278911565,0.06897233183447338,23.70199324534545,0.21034388634039294,1.0119231585456983
Human,TabSap,Tissue-specific,chr4,190214555,27,38.90299100161659,0.04591836734693878,0.0661615493224772,14.194497366408159,-0.5188735272732886,-1.9083789122286061
Human,TabSap,Tissue-specific,chr5,181538259,33,37.12850079388584,0.05612244897959184,0.06314370883313919,18.17798638247379,-0.16766471468808158,-0.6775458129605805
Human,TabSap,Tissue-specific,chr6,170805979,29,34.933517385456184,0.04931972789115646,0.059410743852816646,16.97832837572975,-0.2643997303630575,-1.0039014029691846
Human,TabSap,Tissue-specific,chr7,159345973,37,32.58969826868843,0.06292517006802721,0.05542465691953814,23.219915322240368,0.1805084592391657,0.7725527325914577
Human,TabSap,Tissue-specific,chr8,145138636,20,29.683990535292665,0.034013605442176874,0.050482977100837864,13.779928316261701,-0.558159643148264,-1.777432897789428
Human,TabSap,Tissue-specific,chr9,138394717,26,28.304713223035296,0.04421768707482993,0.04813726738611445,18.78684429839905,-0.12031253487922117,-0.43319906840950817
Human,TabSap,Tissue-specific,chr10,133797422,24,27.364466952097846,0.04081632653061224,0.04653820910220722,17.937565344121502,-0.18564480566239877,-0.6431655444254766
Human,TabSap,Tissue-specific,chr11,135086622,26,27.628136238600575,0.04421768707482993,0.046986626256123425,19.24690958665026,-0.08602160362707093,-0.3097525913791556
Human,TabSap,Tissue-specific,chr12,133275309,35,27.25768354984544,0.05952380952380952,0.04635660467660789,26.261428514114343,0.35493184829311103,1.4829497855611957
Human,TabSap,Tissue-specific,chr13,114364328,24,23.38997887459205,0.04081632653061224,0.03977887563706131,20.985564659637575,0.03637617117804445,0.12613335870721798
Human,TabSap,Tissue-specific,chr14,107043718,21,21.89275577851329,0.03571428571428571,0.03723257785461444,19.61815265048996,-0.05869542547027765,-0.19080179396448313
Human,TabSap,Tissue-specific,chr15,101991189,21,20.859404307473618,0.03571428571428571,0.03547517739366261,20.59001390796611,0.009465247556943791,0.030783717460077575
