species,dataset,plot_label,scope,rank_within_scope,chromosome,region,bin_size_bp,n_stage_timing_donors,n_unique_donor_variants,mean_n_variants,sem_n_variants,mean_variants_per_100mb,sem_variants_per_100mb
Mouse,TabMur,Mouse (TabMur),Overall,8,chr18,chr18:30.0-40.0 Mb,10000000,9,10006,16.444444444444443,1.1915339216404008,164.44444444444446,11.915339216404009
Mouse,TabMur,Mouse (TabMur),Overall,9,chr11,chr11:70.0-80.0 Mb,10000000,9,10006,15.333333333333334,2.3154073315749675,153.33333333333334,23.154073315749674
Mouse,TabMur,Mouse (TabMur),Overall,10,chr7,chr7:120.0-130.0 Mb,10000000,9,10006,14.666666666666666,2.217355782608345,146.66666666666666,22.173557826083453
Mouse,TabMur,Mouse (TabMur),Tissue-specific,1,chr1,chr1:80.0-90.0 Mb,10000000,9,1895,6.111111111111111,1.1837375418145843,61.111111111111114,11.837375418145841
Mouse,TabMur,Mouse (TabMur),Tissue-specific,2,chr11,chr11:120.0-122.1 Mb,10000000,9,1895,1.1111111111111112,0.3888888888888889,53.35357354499337,18.67375074074768
Mouse,TabMur,Mouse (TabMur),Tissue-specific,3,chr4,chr4:130.0-140.0 Mb,10000000,9,1895,4.222222222222222,0.9094836413191612,42.22222222222222,9.09483641319161
Mouse,TabMur,Mouse (TabMur),Tissue-specific,4,chr2,chr2:160.0-170.0 Mb,10000000,9,1895,3.6666666666666665,0.6666666666666666,36.666666666666664,6.666666666666667
Mouse,TabMur,Mouse (TabMur),Tissue-specific,5,chr7,chr7:120.0-130.0 Mb,10000000,9,1895,3.6666666666666665,0.726483157256779,36.666666666666664,7.26483157256779
Mouse,TabMur,Mouse (TabMur),Tissue-specific,6,chr18,chr18:30.0-40.0 Mb,10000000,9,1895,3.3333333333333335,0.4409585518440984,33.333333333333336,4.409585518440984
Mouse,TabMur,Mouse (TabMur),Tissue-specific,7,chr17,chr17:30.0-40.0 Mb,10000000,9,1895,3.2222222222222223,0.46481112585226425,32.22222222222222,4.6481112585226425
Mouse,TabMur,Mouse (TabMur),Tissue-specific,8,chr10,chr10:130.0-130.7 Mb,10000000,9,1895,0.2222222222222222,0.1469861839480328,31.974742511395398,21.149304230119267
Mouse,TabMur,Mouse (TabMur),Tissue-specific,9,chr11,chr11:80.0-90.0 Mb,10000000,9,1895,3.111111111111111,0.4843221048378526,31.11111111111111,4.843221048378526
Mouse,TabMur,Mouse (TabMur),Tissue-specific,10,chr4,chr4:40.0-50.0 Mb,10000000,9,1895,3.111111111111111,0.6111111111111112,31.11111111111111,6.111111111111111
Human,TabSap,Human (TabSap),Adult-specific,1,chr18,chr18:80.0-80.4 Mb,10000000,11,4900,0.2727272727272727,0.19497827808661108,73.06140689480497,52.233086806759204
Human,TabSap,Human (TabSap),Adult-specific,2,chr19,chr19:10.0-20.0 Mb,10000000,11,4900,4.454545454545454,1.9181602756222453,44.54545454545455,19.18160275622245
Human,TabSap,Human (TabSap),Adult-specific,3,chr5,chr5:180.0-181.5 Mb,10000000,11,4900,0.6363636363636364,0.3878314365036644,41.3690826033611,25.212362580271883
Human,TabSap,Human (TabSap),Adult-specific,4,chr15,chr15:60.0-70.0 Mb,10000000,11,4900,4.0,1.7267941920849113,40.0,17.267941920849115
Human,TabSap,Human (TabSap),Adult-specific,5,chr19,chr19:0.0-10.0 Mb,10000000,11,4900,3.909090909090909,1.6757877141242914,39.09090909090909,16.757877141242915
Human,TabSap,Human (TabSap),Adult-specific,6,chr17,chr17:80.0-83.3 Mb,10000000,11,4900,1.2727272727272727,0.6618281717527744,39.07138372505512,20.317426217474832
Human,TabSap,Human (TabSap),Adult-specific,7,chr1,chr1:150.0-160.0 Mb,10000000,11,4900,3.727272727272727,1.7791259809800843,37.27272727272727,17.79125980980084
Human,TabSap,Human (TabSap),Adult-specific,8,chr10,chr10:10.0-20.0 Mb,10000000,11,4900,3.727272727272727,2.115273071092538,37.27272727272727,21.152730710925375
Human,TabSap,Human (TabSap),Adult-specific,9,chr10,chr10:20.0-30.0 Mb,10000000,11,4900,3.727272727272727,1.7994489514642031,37.27272727272727,17.99448951464203
Human,TabSap,Human (TabSap),Adult-specific,10,chr17,chr17:60.0-70.0 Mb,10000000,11,4900,3.6363636363636362,1.7595078199868965,36.36363636363637,17.595078199868965
Human,TabSap,Human (TabSap),Embryoblast,1,chr8,chr8:140.0-145.1 Mb,10000000,11,1971,1.2727272727272727,0.7396671129748361,24.76780361028243,14.394230550185613
Human,TabSap,Human (TabSap),Embryoblast,2,chr15,chr15:50.0-60.0 Mb,10000000,11,1971,1.8181818181818181,0.9226265059174745,18.181818181818183,9.226265059174745
Human,TabSap,Human (TabSap),Embryoblast,3,chr10,chr10:70.0-80.0 Mb,10000000,11,1971,1.7272727272727273,0.8851390141554971,17.272727272727273,8.85139014155497
Human,TabSap,Human (TabSap),Embryoblast,4,chr7,chr7:130.0-140.0 Mb,10000000,11,1971,1.6363636363636365,0.8120985976046288,16.363636363636363,8.12098597604629
Human,TabSap,Human (TabSap),Embryoblast,5,chr9,chr9:0.0-10.0 Mb,10000000,11,1971,1.6363636363636365,0.9933664276107442,16.363636363636363,9.933664276107443
Human,TabSap,Human (TabSap),Embryoblast,6,chr1,chr1:10.0-20.0 Mb,10000000,11,1971,1.5454545454545454,0.8566704719556181,15.454545454545455,8.56670471955618
Human,TabSap,Human (TabSap),Embryoblast,7,chr17,chr17:0.0-10.0 Mb,10000000,11,1971,1.5454545454545454,0.8981155661984342,15.454545454545455,8.98115566198434
Human,TabSap,Human (TabSap),Embryoblast,8,chr22,chr22:30.0-40.0 Mb,10000000,11,1971,1.5454545454545454,0.7788527269310508,15.454545454545455,7.788527269310507
Human,TabSap,Human (TabSap),Embryoblast,9,chr5,chr5:130.0-140.0 Mb,10000000,11,1971,1.5454545454545454,0.9473756705536747,15.454545454545455,9.473756705536747
Human,TabSap,Human (TabSap),Embryoblast,10,chr11,chr11:110.0-120.0 Mb,10000000,11,1971,1.4545454545454546,0.7430115178800927,14.545454545454545,7.430115178800927
Human,TabSap,Human (TabSap),Germ layer-specific,1,chr18,chr18:80.0-80.4 Mb,10000000,11,4023,0.2727272727272727,0.27272727272727276,73.06140689480497,73.06140689480497
Human,TabSap,Human (TabSap),Germ layer-specific,2,chr5,chr5:180.0-181.5 Mb,10000000,11,4023,0.6363636363636364,0.36363636363636365,41.3690826033611,23.639475773349197
Human,TabSap,Human (TabSap),Germ layer-specific,3,chr19,chr19:10.0-20.0 Mb,10000000,11,4023,3.727272727272727,1.9357446727336045,37.27272727272727,19.357446727336043
Human,TabSap,Human (TabSap),Germ layer-specific,4,chr17,chr17:60.0-70.0 Mb,10000000,11,4023,3.5454545454545454,1.7234407253759259,35.45454545454545,17.234407253759258
Human,TabSap,Human (TabSap),Germ layer-specific,5,chr22,chr22:50.0-50.8 Mb,10000000,11,4023,0.2727272727272727,0.14083575804390605,33.32167815079792,17.20724060609652
Human,TabSap,Human (TabSap),Germ layer-specific,6,chr11,chr11:60.0-70.0 Mb,10000000,11,4023,3.1818181818181817,1.4698063064609557,31.818181818181817,14.698063064609558
Human,TabSap,Human (TabSap),Germ layer-specific,7,chr1,chr1:150.0-160.0 Mb,10000000,11,4023,3.0,1.5608855295516184,30.0,15.608855295516184
Human,TabSap,Human (TabSap),Germ layer-specific,8,chr13,chr13:110.0-114.4 Mb,10000000,11,4023,1.2727272727272727,0.7396671129748361,29.162044482616178,16.948018411421785
Human,TabSap,Human (TabSap),Germ layer-specific,9,chr17,chr17:40.0-50.0 Mb,10000000,11,4023,2.909090909090909,1.2681736721797678,29.09090909090909,12.681736721797678
Human,TabSap,Human (TabSap),Germ layer-specific,10,chr22,chr22:40.0-50.0 Mb,10000000,11,4023,2.909090909090909,1.3781050590281598,29.09090909090909,13.781050590281598
Human,TabSap,Human (TabSap),Overall,1,chr18,chr18:80.0-80.4 Mb,10000000,11,11482,0.5454545454545454,0.45454545454545464,146.12281378960995,121.76901149134164
Human,TabSap,Human (TabSap),Overall,2,chr5,chr5:180.0-181.5 Mb,10000000,11,11482,1.4545454545454546,0.8879356688781658,94.5579030933968,57.723417765029545
Human,TabSap,Human (TabSap),Overall,3,chr19,chr19:10.0-20.0 Mb,10000000,11,11482,9.272727272727273,4.214888996901146,92.72727272727273,42.14888996901146
Human,TabSap,Human (TabSap),Overall,4,chr17,chr17:60.0-70.0 Mb,10000000,11,11482,8.909090909090908,4.143899229764918,89.0909090909091,41.43899229764918
Human,TabSap,Human (TabSap),Overall,5,chr1,chr1:150.0-160.0 Mb,10000000,11,11482,8.818181818181818,4.329220340930983,88.18181818181819,43.292203409309835
Human,TabSap,Human (TabSap),Overall,6,chr15,chr15:60.0-70.0 Mb,10000000,11,11482,8.090909090909092,3.7958219745938977,80.9090909090909,37.95821974593898
Human,TabSap,Human (TabSap),Overall,7,chr6,chr6:150.0-160.0 Mb,10000000,11,11482,7.818181818181818,3.7387848823774568,78.18181818181819,37.38784882377457
Human,TabSap,Human (TabSap),Overall,8,chr17,chr17:0.0-10.0 Mb,10000000,11,11482,7.7272727272727275,3.8849146687502776,77.27272727272727,38.849146687502774
Human,TabSap,Human (TabSap),Overall,9,chr17,chr17:40.0-50.0 Mb,10000000,11,11482,7.636363636363637,3.6288558859952422,76.36363636363636,36.28855885995242
Human,TabSap,Human (TabSap),Overall,10,chr19,chr19:0.0-10.0 Mb,10000000,11,11482,7.545454545454546,3.3746747624128335,75.45454545454545,33.74674762412834
Human,TabSap,Human (TabSap),Tissue-specific,1,chr2,chr2:240.0-242.2 Mb,10000000,11,588,0.18181818181818182,0.1818181818181818,8.288843312223445,8.288843312223444
Human,TabSap,Human (TabSap),Tissue-specific,2,chr1,chr1:150.0-160.0 Mb,10000000,11,588,0.8181818181818182,0.46354722850843494,8.181818181818182,4.63547228508435
Human,TabSap,Human (TabSap),Tissue-specific,3,chr14,chr14:100.0-107.0 Mb,10000000,11,588,0.5454545454545454,0.31228298249668485,7.743844166597037,4.433496379279876
Human,TabSap,Human (TabSap),Tissue-specific,4,chr12,chr12:0.0-10.0 Mb,10000000,11,588,0.7272727272727273,0.5408899920234006,7.2727272727272725,5.408899920234006
Human,TabSap,Human (TabSap),Tissue-specific,5,chr2,chr2:190.0-200.0 Mb,10000000,11,588,0.7272727272727273,0.4283352359778089,7.2727272727272725,4.28335235977809
Human,TabSap,Human (TabSap),Tissue-specific,6,chr3,chr3:20.0-30.0 Mb,10000000,11,588,0.7272727272727273,0.6337609111975773,7.2727272727272725,6.337609111975773
Human,TabSap,Human (TabSap),Tissue-specific,7,chr19,chr19:40.0-50.0 Mb,10000000,11,588,0.6363636363636364,0.5439372836964215,6.363636363636363,5.439372836964215
Human,TabSap,Human (TabSap),Tissue-specific,8,chr22,chr22:20.0-30.0 Mb,10000000,11,588,0.6363636363636364,0.3878314365036644,6.363636363636363,3.878314365036644
Human,TabSap,Human (TabSap),Tissue-specific,9,chr13,chr13:110.0-114.4 Mb,10000000,11,588,0.2727272727272727,0.27272727272727276,6.24900953198918,6.249009531989181
Human,TabSap,Human (TabSap),Tissue-specific,10,chr5,chr5:180.0-181.5 Mb,10000000,11,588,0.09090909090909091,0.0909090909090909,5.9098689433373,5.9098689433373
